"run_name";"run_date";"product_code";"sp_code";"ifrs17_group";"projection_month";"premium_income";"premium_not_received_lapse";"commission";"renewal_commission";"claw_back";"non_life_claims_outgo";"death_outgo";"accidental_death_outgo";"cash_back_on_survival";"cash_back_on_death";"disability_outgo";"retrenchment_outgo";"rider";"rider_adjusted";"initial_expenses";"renewal_expenses";"net_cash_flow";"reserves";"change_in_reserves";"investment_income";"profit";"coverage_units";"discounted_premium_income";"discounted_premium_not_received";"discounted_commission";"discounted_claw_back";"discounted_death_outgo";"discounted_accidental_death_outgo";"discounted_morbidity_outgo";"discounted_outgo";"discounted_cash_back_on_survival";"discounted_cash_back_on_death";"discounted_rider";"discounted_initial_expenses";"discounted_renewal_expenses";"discounted_profit";"discounted_annuity_factor";"discounted_cash_outflow";"discounted_cash_outflow_excl_acquisition";"discounted_acquisition_cost";"discounted_cash_inflow";"sum_coverage_units";"discounted_coverage_units";"ceded_sum_assured";"reinsurance_premium";"reinsurance_ceding_commission";"reinsurance_claims";"net_reinsurance_cashflow";"discounted_net_reinsurance_cashflow";"discounted_reinsurance_premium";"discounted_reinsurance_ceding_commission";"discounted_reinsurance_claims";"run_basis"
"ManualSAP01";"2022-06";"FE_001";0;"202112N";0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-147906.0454646999;-147906.0454646999;0.0;1477.452222;12674500.0;1269415.0836073998;0.0;0.0;0.0;922322.0119335001;108275.19828270003;0.0;0.0;0.0;0.0;0.0;0.0;90911.82792650002;0.0;0.0;1121509.0381427002;1121509.0381427002;0.0;1269415.0836073998;544555323.1360998;409339834.796122;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
"ManualSAP01";"2022-06";"FE_001";0;"202112N";1;35763.0;0.0;0.0;0.0;0.0;0.0;12105.408390000006;3142.404049999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1984.0917866000057;-18531.095773399993;-129992.53069739992;14317.277711700015;-703.4340808999999;-85.85307699999991;12188447.8251;1240327.7973246998;0.0;0.0;0.0;915207.6036716999;105718.70839460002;0.0;0.0;0.0;0.0;0.0;0.0;89408.95456099995;0.0;0.0;1110335.2666272991;1110335.2666272991;0.0;1240327.7973246998;532366875.3110002;399366464.938716;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
"ManualSAP01";"2022-06";"FE_001";0;"202112N";2;34432.94969079999;0.0;0.0;0.0;0.0;0.0;14653.700059999997;3015.3197800000007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1919.1612952000005;-14844.768555600007;-115675.25298569995;11696.390317900004;-625.9583913999995;-98.46754499999999;11721180.004550006;1212420.3574455995;0.0;0.0;0.0;905506.4052394003;103275.46873460007;0.0;0.0;0.0;0.0;0.0;0.0;87963.2304859;0.0;0.0;1096745.1044598997;1096745.1044598997;0.0;1212420.3574455995;520645695.3064496;389806393.5835651;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
"ManualSAP01";"2022-06";"FE_001";0;"202112N";3;33152.50335709998;0.0;0.0;0.0;0.0;0.0;16246.313430000018;2896.829639999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1856.3656921;-12152.994594999995;-103978.86266779996;8293.219352399998;-645.4505162999997;-188.84623700000012;11259430.901999993;1185649.2761235002;0.0;0.0;0.0;894160.0969325996;100937.49800859996;0.0;0.0;0.0;0.0;0.0;0.0;86572.81851449999;0.0;0.0;1081670.413455701;1081670.413455701;0.0;1185649.2761235002;509386264.4044503;380656338.51234156;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
"ManualSAP01";"2022-06";"FE_001";0;"202112N";4;31934.798404499987;0.0;0.0;0.0;0.0;0.0;18590.110139999997;2795.202779999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1797.8909693000003;-8751.59451520001;-95685.64331540003;6014.6361750000015;-593.9702196999998;-135.5950529999999;10862909.238549998;1160876.1794963998;0.0;0.0;0.0;881120.5004422006;98768.86642289997;0.0;0.0;0.0;0.0;0.0;0.0;85301.1693159;0.0;0.0;1065190.5361809996;1065190.5361809996;0.0;1160876.1794963998;498523355.1659003;372156359.8157821;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
"ManualSAP01";"2022-06";"FE_001";0;"202112N";5;30812.174265000016;0.0;0.0;0.0;0.0;0.0;19933.433430000016;2705.9339999999993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1744.6376579000005;-6428.169177100005;-89671.00714039999;3215.1455702000007;-556.6342659999997;-143.10125699999983;10467703.90005;1137078.8963084;0.0;0.0;0.0;866656.6371497001;96676.04180269995;0.0;0.0;0.0;0.0;0.0;0.0;84075.21021560002;0.0;0.0;1047407.8891679997;1047407.8891679997;0.0;1137078.8963084;488055651.2658501;363998822.6988233;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
"ManualSAP01";"2022-06";"FE_001";0;"202112N";6;29788.931292899986;0.0;0.0;0.0;0.0;0.0;21880.98452000002;2614.4156799999982;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1696.1377399999992;-3597.393352899999;-86455.86157020004;2605.8219390000004;-537.3721710000002;-155.12438399999976;10108289.396499986;1114163.4858591997;0.0;0.0;0.0;850155.4380957;94661.74425719994;0.0;0.0;0.0;0.0;0.0;0.0;82890.44193610002;0.0;0.0;1027707.6242890004;1027707.6242890004;0.0;1114163.4858591997;477947361.86934954;356150062.03830826;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
"ManualSAP01";"2022-06";"FE_001";0;"202112N";7;28827.8439731;0.0;0.0;0.0;0.0;0.0;21677.10134999999;2525.8952900000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1650.5753485999994;-2974.2719845;-83850.03963120004;2282.0370162000036;-521.1755101;-152.72546199999988;9781085.924299994;1092081.6179206006;0.0;0.0;0.0;833762.5345465;92724.2253485;0.0;0.0;0.0;0.0;0.0;0.0;81744.81839440003;0.0;0.0;1008231.5782894004;1008231.5782894004;0.0;1092081.6179206006;468166275.9450499;348582650.5668053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
"ManualSAP01";"2022-06";"FE_001";0;"202112N";8;27921.07552160001;0.0;0.0;0.0;0.0;0.0;21230.049299999984;2443.724830000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1607.6417656000003;-2639.6596259999988;-81568.00261499995;1465.5776095;-506.99135720000027;-149.36875399999994;9470195.4266;1070774.9031915006;0.0;0.0;0.0;817714.7918617999;90856.83412199991;0.0;0.0;0.0;0.0;0.0;0.0;80635.2745927;0.0;0.0;989206.9005765002;989206.9005765002;0.0;1070774.9031915006;458696080.51844984;341279093.8425306;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
"ManualSAP01";"2022-06";"FE_001";0;"202112N";9;27066.571794299995;0.0;0.0;0.0;0.0;0.0;21316.661850000026;2368.5256200000017;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1567.3077333000008;-1814.0765910000014;-80102.42500549999;1398.8814659000006;-503.57726690000067;-155.07829000000004;9176070.48795001;1050195.5701083003;0.0;0.0;0.0;801480.6908131993;89053.03521160007;0.0;0.0;0.0;0.0;0.0;0.0;79559.41907800004;0.0;0.0;970093.1451028006;970093.1451028006;0.0;1050195.5701083003;449520010.03049994;334224266.3132068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
"ManualSAP01";"2022-06";"FE_001";0;"202112N";10;26265.9525103;0.0;0.0;0.0;0.0;0.0;20690.38172999998;2298.928190000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1529.6924849999994;-1746.9501053000001;-78703.54353959998;1368.0122441999993;-494.78296530000006;-146.71432199999992;8905597.089100003;1030366.7220678002;0.0;0.0;0.0;785828.9512397004;87313.95379320004;0.0;0.0;0.0;0.0;0.0;0.0;78520.27349529999;0.0;0.0;951663.1785282006;951663.1785282006;0.0;1030366.7220678002;440614412.94140005;327419825.8676044;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
